Primary Industry Type,,Employer,Doing Business As,Workforce Size,Number of Hiring Sites,Hiring Site Locations (by state)
31-33,MANUFACTURINGÊ,"ADA Carbon Solutions, LLC",,20 to 99,2,"CO, LA"
31-33,MANUFACTURINGÊ,Adecco,,100 to 499,1,CO
31-33,MANUFACTURINGÊ,"ADInstruments, Inc.",,20 to 99,1,CO
31-33,MANUFACTURINGÊ,Adrian Steel Company,,100 to 499,9,"CA, CO, FL, GA, MD, MI, MO, OH, TX"
31-33,MANUFACTURINGÊ,Advanced Assembly,,20 to 99,1,CO
31-33,MANUFACTURINGÊ,Advanced Circuits,,100 to 499,1,CO
31-33,MANUFACTURINGÊ,Advanced Drainage Systems,,"2,500 to 4,999",73,"AL, AR, AZ, CA, CO, CT, FL, GA, IA, IL, IN, KY, MA, MD, MI, MN, MO, MS, NC, ND, NJ, NY, OH, OK, OR, PA, PR, SD, TN, TX, UT, VA, VT, WA, WI"
31-33,MANUFACTURINGÊ,"Advanced Energy Industries, Inc.",,"1,000 to 2,499",4,"CA, CO, NY, WA"
31-33,MANUFACTURINGÊ,"Advanced Energy Industries, Inc.",,500 to 999,2,CO
31-33,MANUFACTURINGÊ,Advanced Forming Technology,,100 to 499,1,CO
31-33,MANUFACTURINGÊ,"Advanced Refrigeration, Heating & Air of Western Colorado, LLC",,10 to 19,1,CO
31-33,MANUFACTURINGÊ,Advanced Solar Energy LLC,,20 to 99,1,CO
31-33,MANUFACTURINGÊ,"Advanced Thin Films, Inc.",,20 to 99,1,CO
31-33,MANUFACTURINGÊ,"Advantage Advertising, Inc.",Advantage Sign Company,10 to 19,1,CO
31-33,MANUFACTURINGÊ,ADVANTAGE MANUFACTURING OF COLORADO SPRINGS LLC,,20 to 99,1,CO
31-33,MANUFACTURINGÊ,ADVANTAGE MANUFACTURING OF COLORADO SPRINGS LLC,,20 to 99,1,CO
31-33,MANUFACTURINGÊ,"Advantest America, Inc.",Advantest,"2,500 to 4,999",9,"CA, CO, IL, NH, OR, PA, TX, VT"
31-33,MANUFACTURINGÊ,Advertising Concepts Incorporated,Adcon Signs,20 to 99,1,CO
31-33,MANUFACTURINGÊ,Aeridyne Inc.,,20 to 99,1,CO
31-33,MANUFACTURINGÊ,"Aeroflex Colorado Springs, Inc.","Aeroflex Colorado Springs, Inc.",100 to 499,1,CO
31-33,MANUFACTURINGÊ,"Aeroflex Wichita, Inc",,500 to 999,20,"CA, CO, CT, FL, GA, IA, IN, KS, MD, MO, NJ, OR, TX, VA, WA"
31-33,MANUFACTURINGÊ,"AeroSimulators USA, Inc.",,5 to 9,1,CO
31-33,MANUFACTURINGÊ,Aggregate Industries,,100 to 499,15,CO
31-33,MANUFACTURINGÊ,Agrium Advanced Technologies (U.S.) Inc.,,100 to 499,1,CO
31-33,MANUFACTURINGÊ,"AIA Industries, Inc","AIA Industries, Inc",20 to 99,1,CO
31-33,MANUFACTURINGÊ,Aidells Sausage Company,,"1,000 to 2,499",72,"AL, AZ, CA, CO, CT, DE, FL, GA, HI, IA, IL, IN, KY, LA, MA, MD, ME, MI, MN, MO, NC, NH, NJ, NV, NY, OH, OR, PA, RI, SC, TN, TX, UT, VA, VT, WA, WV"
31-33,MANUFACTURINGÊ,"AIM Processing, Inc.",,10 to 19,1,CO
31-33,MANUFACTURINGÊ,AimLock,AimLock,20 to 99,1,CO
31-33,MANUFACTURINGÊ,Air Comm Corporation,,20 to 99,2,"CO, TX"
31-33,MANUFACTURINGÊ,Air Liquide USA LLC,,"2,500 to 4,999",297,"AK, AL, AR, AZ, CA, CO, DE, FL, GA, HI, IA, IL, IN, KS, KY, LA, MA, MD, MI, MN, MO, MS, MT, NC, ND, NE, NJ, NM, NV, NY, OH, OK, OR, PA, RI, SC, TN, TX, UT, VA, VT, WA, WI, WV"
31-33,MANUFACTURINGÊ,"Air Products and Chemicals, Inc.",,"5,000 to 9,999",158,"AL, AR, AZ, CA, CO, FL, GA, IA, ID, IL, IN, KS, KY, LA, MA, MD, MI, MN, MO, NC, NJ, NM, NV, NY, OH, OK, OR, PA, SC, TN, TX, UT, VA, WA, WI, WV"
31-33,MANUFACTURINGÊ,Air Squared Manufacturing Inc.,,20 to 99,1,CO
31-33,MANUFACTURINGÊ,Aitech Defense Systems Inc,,20 to 99,4,"AZ, CA, CO, NJ"
31-33,MANUFACTURINGÊ,Akzo Nobel Paints LLC,,"1,000 to 2,499",375,"AK, AL, AR, AZ, CA, CO, CT, DE, FL, GA, HI, IA, IL, IN, KS, KY, LA, MA, MD, ME, MI, MO, MS, NC, NE, NJ, NM, NY, OH, OR, PA, PR, RI, SC, TN, TX, UT, VA, VT, WA, WI, WV"
31-33,MANUFACTURINGÊ,Alan Manes Machine,,20 to 99,1,CO
31-33,MANUFACTURINGÊ,Alcohol Monitoring Systems,,100 to 499,1,CO
31-33,MANUFACTURINGÊ,"Alcohol Monitoring Systems, Inc.",,100 to 499,1,CO
31-33,MANUFACTURINGÊ,"Alcon Vision, Inc.",,"2,500 to 4,999",50,"AK, AL, AR, AZ, CA, CO, CT, DE, FL, GA, HI, IA, ID, IL, IN, KS, KY, LA, MA, MD, ME, MI, MN, MO, MS, MT, NC, ND, NE, NH, NJ, NM, NV, NY, OH, OK, OR, PA, PR, RI, SC, SD, TN, TX, UT, VA, WA, WI, WV"
31-33,MANUFACTURINGÊ,"Aleph Objects, Inc.",,100 to 499,1,CO
31-33,MANUFACTURINGÊ,Alfred Manufacturing Company,,20 to 99,1,CO
31-33,MANUFACTURINGÊ,All American Homes of Colorado,,100 to 499,1,CO
31-33,MANUFACTURINGÊ,All American Seasonings Inc,,20 to 99,1,CO
31-33,MANUFACTURINGÊ,All Packaging Company,,100 to 499,2,"CO, UT"
31-33,MANUFACTURINGÊ,"All Round Foods Bakery Products, Inc",,10 to 19,6,"CO, GA, MA, NY, TX, WI"
31-33,MANUFACTURINGÊ,Alliance Storage Technologies Inc,,20 to 99,1,CO
31-33,MANUFACTURINGÊ,Allied Building Products Corp,,"2,500 to 4,999",221,"AK, AZ, CA, CO, CT, FL, GA, HI, IA, IL, IN, MA, MD, MI, MN, NC, ND, NE, NJ, NV, NY, OH, OR, PA, RI, SD, TX, UT, VA, WA, WI"
31-33,MANUFACTURINGÊ,Allied Motion Technologies Inc.,,500 to 999,7,"AL, CO, MI, NY, OH, OK"
31-33,MANUFACTURINGÊ,Allsteel Inc.,,"1,000 to 2,499",7,"CA, CO, GA, IA, TX, WA"
31-33,MANUFACTURINGÊ,"Alpha Spectra, Inc.",,20 to 99,1,CO
31-33,MANUFACTURINGÊ,Alstom Inc,,"5,000 to 9,999",13,"AL, CO, DC, IL, KS, LA, MA, MI, MO, OR, PA, TX"
31-33,MANUFACTURINGÊ,Alstom Inc,,500 to 999,85,"AL, AZ, CA, CO, CT, DC, DE, FL, GA, IL, KS, KY, LA, MA, MI, MN, MO, MS, MT, NC, NY, OH, OR, PA, PR, TN, TX, VA, WA, WI"
31-33,MANUFACTURINGÊ,Alstom Power Inc,,"5,000 to 9,999",40,"CO, CT, GA, IL, KS, KY, MI, MN, MS, MT, NC, NY, PA, TN, TX, VA, WA, WI"
31-33,MANUFACTURINGÊ,Altec Inc.,,"1,000 to 2,499",33,"AL, AZ, CA, CO, FL, GA, IN, KS, KY, MA, MD, MN, MO, NC, OH, OR, PA, TX, VA"
31-33,MANUFACTURINGÊ,Altera Corporation,,"1,000 to 2,499",15,"CA, CO, IL, MA, MD, MN, NC, NJ, OH, TX, WI"
31-33,MANUFACTURINGÊ,"Altratek Plastics, Inc.",,10 to 19,1,CO
31-33,MANUFACTURINGÊ,Altria Group Distribution Company,Altria,"1,000 to 2,499",9,"AL, AZ, CO, GA, MS, NC, SC, VA"
31-33,MANUFACTURINGÊ,Amarr Garage Doors,,"1,000 to 2,499",67,"AL, AZ, CA, CO, CT, FL, GA, ID, IL, IN, KS, KY, LA, MA, MD, MI, MN, MT, NC, NJ, NM, NV, NY, OH, PA, RI, SC, TN, TX, UT, VA, WA, WI"
31-33,MANUFACTURINGÊ,American Butchers LLC,American Butchers LLC,10 to 19,4,"CO, MA, NE, TX"
31-33,MANUFACTURINGÊ,American Equipment,,"1,000 to 2,499",8,"CO, NV, UT, WY"
31-33,MANUFACTURINGÊ,American Equipment Inc,amquip,100 to 499,8,"CO, NV, UT, WY"
31-33,MANUFACTURINGÊ,American Gypsum,American Gypsum,"1,000 to 2,499",3,"CO, NM, OK"
31-33,MANUFACTURINGÊ,"American Gypsum Co., LLC",,100 to 499,1,CO
31-33,MANUFACTURINGÊ,"American Orthodontics, Corp",,500 to 999,26,"AZ, CA, CO, FL, GA, IL, IN, LA, MA, MD, MI, MN, MO, NC, NJ, NY, OH, OR, PA, SC, TN, TX, UT, VA, WA, WI"
31-33,MANUFACTURINGÊ,American Paltech of Colorado,,20 to 99,1,CO
31-33,MANUFACTURINGÊ,AMERICAN ROOFING.COM,,20 to 99,1,CO
31-33,MANUFACTURINGÊ,"American Web, Inc.",,100 to 499,1,CO
31-33,MANUFACTURINGÊ,"Amusemints, LLC",,20 to 99,1,CO
31-33,MANUFACTURINGÊ,"AmWest Control, Inc.",,20 to 99,1,CO
31-33,MANUFACTURINGÊ,Anadarko Petroleum Corporation,Anadarko Petroleum Corporation,"2,500 to 4,999",71,"AK, CO, DC, KS, LA, NM, OH, PA, TX, UT, WA"
31-33,MANUFACTURINGÊ,"Analog Devices, Inc",,"2,500 to 4,999",26,"CA, CO, FL, GA, IL, MA, MD, MI, NC, NH, NJ, OR, TX, UT, VA, WA"
31-33,MANUFACTURINGÊ,"Analytical Spectral Devices, Inc.",,20 to 99,1,CO
31-33,MANUFACTURINGÊ,"ANCO Engineers, Inc.","ANCO Engineers, Inc.",10 to 19,1,CO
31-33,MANUFACTURINGÊ,AND Sheet Metal,,5 to 9,1,CO
31-33,MANUFACTURINGÊ,Anderson Boneless Beef,Anderson Beef,20 to 99,1,CO
31-33,MANUFACTURINGÊ,ANDERSON TANK AND TRAILER,ANDERSON TANK AND TRAILER,10 to 19,1,CO
31-33,MANUFACTURINGÊ,"Animal Care Systems, Inc.",,20 to 99,1,CO
31-33,MANUFACTURINGÊ,"Animal Care Systems, Inc.",,20 to 99,1,CO
31-33,MANUFACTURINGÊ,"Ankmar, LLC",,100 to 499,1,CO
31-33,MANUFACTURINGÊ,Ann Sacks,Ann Sacks,100 to 499,20,"CA, CO, DC, FL, IL, MA, MI, NY, OR, TX, VA, WA, WI"
31-33,MANUFACTURINGÊ,"Another Technical Option, Inc.",,5 to 9,1,CO
31-33,MANUFACTURINGÊ,Anritsu Company,,500 to 999,22,"CA, CO, FL, GA, ID, IL, MA, MD, NC, NH, NJ, NY, OH, OR, PA, SC, TX, VA, WA, WI"
31-33,MANUFACTURINGÊ,"Apex Sign Co., LLC dba ad light + sign",,20 to 99,1,CO
31-33,MANUFACTURINGÊ,APG-Neuros,APG-Neuros,20 to 99,9,"AZ, CO, GA, MI, NC, NY, SC, TX, VA"
31-33,MANUFACTURINGÊ,Apple Inc. and its subsidiaries,,"10,000 and over",71,"AL, AZ, CA, CO, FL, GA, IN, LA, MN, MO, MS, NC, NE, OK, SC, TN, TX, UT, VA"
31-33,MANUFACTURINGÊ,"Apple, Inc.",,"10,000 and over",280,"AK, AL, AR, AZ, CA, CO, CT, DC, DE, FL, GA, HI, IA, ID, IL, IN, KS, KY, LA, MA, MD, ME, MI, MN, MO, MS, NC, NE, NH, NJ, NM, NV, NY, OH, OK, OR, PA, RI, SC, TN, TX, UT, VA, WA, WI"
31-33,MANUFACTURINGÊ,Applied Coatings Technologies,,5 to 9,1,CO
31-33,MANUFACTURINGÊ,Applied Industrial Technologies,,"2,500 to 4,999",500,"AL, AR, AZ, CA, CO, CT, DE, FL, GA, IA, ID, IL, IN, KS, KY, LA, MA, MD, ME, MI, MN, MO, MS, MT, NC, ND, NE, NH, NJ, NM, NV, NY, OH, OK, OR, PA, RI, SC, SD, TN, TX, UT, VA, VT, WA, WI, WV, WY"
31-33,MANUFACTURINGÊ,Applied Materials Inc.,,"5,000 to 9,999",92,"AZ, CA, CO, CT, FL, GA, HI, ID, IL, IN, KS, KY, MA, MD, ME, MI, MN, MO, MT, NC, NH, NJ, NM, NV, NY, OH, OR, PA, RI, SD, TN, TX, UT, VA, VT, WA"
31-33,MANUFACTURINGÊ,"APS BioGroup, Inc",,20 to 99,3,"AZ, CA, CO"
31-33,MANUFACTURINGÊ,"Aquaculture Systems Technologies, LLC",,10 to 19,2,"CO, LA"
31-33,MANUFACTURINGÊ,"AR Wilfley and Sons, Inc.",,20 to 99,1,CO
31-33,MANUFACTURINGÊ,Arch Naturals,Renaud Naturals,5 to 9,1,CO
31-33,MANUFACTURINGÊ,Archer Daniels Midland Company,,"10,000 and over",442,"AR, CA, CO, DC, FL, GA, IA, ID, IL, IN, KS, KY, LA, MA, MI, MN, MO, MS, MT, NC, ND, NE, NJ, NY, OH, OK, OR, PA, SC, SD, TN, TX, UT, WA, WI, WY"
31-33,MANUFACTURINGÊ,Archer Daniels Midland Company,,"10,000 and over",666,"AL, AR, CA, CO, CT, DC, FL, GA, IA, ID, IL, IN, KS, KY, LA, MA, MI, MN, MO, MS, MT, NC, ND, NE, NJ, NY, OH, OK, OR, PA, SC, SD, TN, TX, UT, VA, WA, WI, WY"
31-33,MANUFACTURINGÊ,Architectural Sheet Metal & Panels Inc,Architectural Panels Inc,10 to 19,1,CO
31-33,MANUFACTURINGÊ,"Archrock Services, L.P.",,"2,500 to 4,999",56,"AL, AR, CA, CO, KS, LA, MI, MS, ND, NM, NY, OK, PA, TX, UT, WV"
31-33,MANUFACTURINGÊ,"Arconic, Inc.",,"10,000 and over",338,"AL, AR, AZ, CA, CO, CT, DC, DE, FL, GA, HI, IA, IL, IN, KS, KY, LA, MA, MD, MI, MN, MO, MS, NC, NH, NJ, NV, NY, OH, OR, PA, RI, SC, SD, TN, TX, UT, VA, VI, VT, WA, WI"
31-33,MANUFACTURINGÊ,Ardent Mills LLC,,"2,500 to 4,999",57,"AL, CA, CO, FL, GA, IA, IL, KS, LA, MA, ME, MN, ND, NE, NY, OH, OR, PA, TN, TX, UT, VA, WA, WI"
31-33,MANUFACTURINGÊ,Ardent Mills LLC,Ardent Mills,"1,000 to 2,499",76,"AK, AL, AR, AZ, CA, CO, CT, DC, DE, FL, GA, GU, HI, IA, ID, IL, IN, KS, KY, LA, MA, MD, ME, MI, MN, MO, MP, MS, MT, NC, ND, NE, NH, NJ, NM, NV, NY, OH, OK, OR, PA, PR, RI, SC, SD, TN, TX, UT, VA, VI, VT, WA, WI, WV"
31-33,MANUFACTURINGÊ,ARI Railcar Services LLC,,100 to 499,15,"CO, FL, GA, IL, LA, MO, MS, ND, TX, WY"
31-33,MANUFACTURINGÊ,"ARRIS U.S. Holdings, Inc.",,"1,000 to 2,499",87,"AL, AR, AZ, CA, CO, CT, DC, DE, FL, GA, ID, IL, IN, KS, KY, LA, MA, MD, ME, MI, MN, MO, MT, NC, NE, NH, NJ, NM, NV, NY, OH, OK, OR, PA, PR, RI, SC, SD, TN, TX, UT, VA, VT, WA, WI, WV"
31-33,MANUFACTURINGÊ,"Arthrex, Inc.","Arthrex, Inc.",500 to 999,22,"AZ, CA, CO, DE, FL, GA, IA, IL, KY, MA, ME, MI, MN, MO, NH, NJ, NY, OH, PA, TN, TX, UT"
31-33,MANUFACTURINGÊ,Arthur L. Hunot,Hunot Retardant Company,100 to 499,37,"AZ, CA, CO, ID, MT, NC, NV, OR, SD, UT, WA"
31-33,MANUFACTURINGÊ,Artisan Kitchen Fabrication & Design LTD.,Aspen Design & Fabrication,20 to 99,1,CO
31-33,MANUFACTURINGÊ,Aruze Gaming America,,100 to 499,7,"AZ, CO, FL, LA, MS, NV, PA"
31-33,MANUFACTURINGÊ,"Ascent Solar Technologies, Inc.",,20 to 99,1,CO
31-33,MANUFACTURINGÊ,"ASI Medical, Inc.",,10 to 19,1,CO
31-33,MANUFACTURINGÊ,ASICS America Corporation,,"1,000 to 2,499",55,"AR, AZ, CA, CO, FL, GA, HI, IL, KY, MA, MD, MI, MN, MO, MS, NC, NH, NJ, NV, NY, OK, OR, PA, SC, TN, TX, VA, WA"
31-33,MANUFACTURINGÊ,Aspen Laboratories Inc.,ConMed Electrosurgery,100 to 499,1,CO
31-33,MANUFACTURINGÊ,Aspen personnel,,20 to 99,2,CO
31-33,MANUFACTURINGÊ,ASSA ABLOY Entrance Systems US Inc.,ASSA ABLOY Entrance Systems US Inc,500 to 999,21,"AZ, CA, CO, FL, GA, IL, MA, MD, MI, NC, NJ, NV, NY, PA, SC, TX"
31-33,MANUFACTURINGÊ,Associated Materials LLC,,"2,500 to 4,999",111,"AL, AZ, CA, CO, CT, DE, FL, GA, IA, ID, IL, IN, KS, KY, MA, MD, ME, MI, MN, MO, MT, NC, NH, NJ, NV, NY, OH, OR, PA, RI, SC, SD, TN, TX, UT, VA, WA, WI, WV, WY"
31-33,MANUFACTURINGÊ,"Associated Thermoforming, Inc.",,20 to 99,1,CO
31-33,MANUFACTURINGÊ,Asthmatx,,"1,000 to 2,499",10,"AL, AZ, CA, CO, GA, LA, MI, NC, SC, TN"
31-33,MANUFACTURINGÊ,Atlantic Aviation FBO Inc.,Atlantic Aviation,"1,000 to 2,499",66,"AK, AL, AZ, CA, CO, CT, DE, FL, GA, IL, IN, KY, LA, MO, MS, NJ, NM, NV, NY, OH, OK, OR, PA, SC, TN, TX, UT, VA, WI, WY"
31-33,MANUFACTURINGÊ,Atlas Roofing Corporation,,20 to 99,3,"AZ, CO, TX"
31-33,MANUFACTURINGÊ,"Atlas Roofing Corporation North Glenn, CO",,20 to 99,1,CO
31-33,MANUFACTURINGÊ,ATMEL Corporation,,"5,000 to 9,999",12,"CA, CO, FL, IL, MA, MD, MN, NC, NJ, OR, TX"
31-33,MANUFACTURINGÊ,Atritech,,10 to 19,9,"AL, AZ, CO, GA, LA, MS, NC, SC, TN"
31-33,MANUFACTURINGÊ,Atrium,,100 to 499,1,CO
31-33,MANUFACTURINGÊ,"Atrium Companies, Inc.",,"2,500 to 4,999",14,"AL, CA, CO, NC, PA, TX, WA"
31-33,MANUFACTURINGÊ,Aurora Networks,,100 to 499,49,"AZ, CA, CO, FL, GA, ID, LA, MA, ME, MN, MO, NH, NJ, NV, PA, PR, SC, TN, TX, VA, WA"
31-33,MANUFACTURINGÊ,Aurora Semiconductor,,20 to 99,40,"CA, CO, FL, GA, ME"
31-33,MANUFACTURINGÊ,Avago Technologies,,"2,500 to 4,999",45,"CA, CO, GA, MN, PA, TX"
31-33,MANUFACTURINGÊ,Avalanche Sign Contracting LLC,,5 to 9,1,CO
31-33,MANUFACTURINGÊ,Avantes Inc,,5 to 9,1,CO
31-33,MANUFACTURINGÊ,"Aviat U.S., Inc.",,"1,000 to 2,499",23,"AZ, CA, CO, CT, FL, GA, HI, ID, IL, KY, MA, MD, ME, NC, NH, PA, PR, SC, TN, TX, WA, WI, WV"
31-33,MANUFACTURINGÊ,"Avior Control Technologies, Inc",,5 to 9,1,CO
31-33,MANUFACTURINGÊ,AVX Corporation,,10 to 19,1,CO
31-33,MANUFACTURINGÊ,"Axalta Coating Systems, LLC",,"1,000 to 2,499",132,"AL, AR, AZ, CA, CO, CT, DE, FL, GA, HI, IA, ID, IL, IN, KS, KY, LA, MA, MD, ME, MI, MN, MO, MS, MT, NC, ND, NE, NH, NJ, NM, NV, NY, OH, OK, OR, PA, RI, SC, SD, TN, TX, UT, VA, WA, WI, WV"
31-33,MANUFACTURINGÊ,AxImmune Inc,,5 to 9,3,"CO, VA, WV"
31-33,MANUFACTURINGÊ,AZZ Galvanizing - NAG,,"1,000 to 2,499",7,"CO, KY, MO, OK, TN, TX"
31-33,MANUFACTURINGÊ,"B & B BLENDING, INC.",,20 to 99,1,CO
31-33,MANUFACTURINGÊ,"Babcock & Wilcox Construction Co., LLC",,20 to 99,12,"CA, CO, FL, GA, IL, MI, MO, NJ, NM, OH, TX, WV"
31-33,MANUFACTURINGÊ,"Backyard Products, LLC",,100 to 499,4,"CO, GA, MI, WI"
31-33,MANUFACTURINGÊ,Backyard Services,Backyard Products,100 to 499,33,"AZ, CA, CO, FL, GA, IL, IN, LA, MI, MO, NC, NH, NJ, NY, OH, PA, SC, TN, TX, UT, VA, WA"
31-33,MANUFACTURINGÊ,Badlands NGLs LLC,,10 to 19,1,CO
31-33,MANUFACTURINGÊ,BAE Systems - AS,,100 to 499,1,CO
31-33,MANUFACTURINGÊ,BAE Systems Inc and Subsidiaries except Safari land LLC,,"10,000 and over",40,"AL, AZ, CA, CO, DC, FL, HI, IN, KY, MA, MI, MN, NE, NH, NJ, NY, OH, PA, SC, TN, TX, VA"
31-33,MANUFACTURINGÊ,BakeMark USA,,500 to 999,19,"AZ, CA, CO, FL, GA, MN, NJ, NV, NY, OH, OR, TX, UT, WA, WI"
31-33,MANUFACTURINGÊ,Ball Aerospace & Technologies Corp,,"2,500 to 4,999",6,"CO, GA, MD, NM, OH, VA"
31-33,MANUFACTURINGÊ,Ball Corporation,,"10,000 and over",37,"AR, CA, CO, DC, FL, GA, HI, IN, MD, MO, NC, NM, NY, OH, PA, TN, TX, VA, WI, WV"
31-33,MANUFACTURINGÊ,Ball Corporation,Ball Corporation - Colorado Campus,100 to 499,2,CO
31-33,MANUFACTURINGÊ,Ball Metal Beverage Container Corp,,100 to 499,1,CO
31-33,MANUFACTURINGÊ,"Ball Metalpack, LLC",,"1,000 to 2,499",11,"AR, CA, CO, OH, PA, TN, WI"
31-33,MANUFACTURINGÊ,Ballard Dental Laboratories LLC,,10 to 19,2,"CO, UT"
31-33,MANUFACTURINGÊ,Band-IT-IDEX,,100 to 499,1,CO
31-33,MANUFACTURINGÊ,Bard Access Systems,,500 to 999,50,"AK, AL, AR, AZ, CA, CO, CT, DC, DE, FL, GA, IA, ID, IL, IN, KS, KY, LA, MA, MD, ME, MI, MN, MO, MS, MT, NC, ND, NE, NH, NJ, NM, NV, NY, OH, OK, OR, PA, RI, SC, SD, TN, TX, UT, VA, VT, WA, WI, WV, WY"
31-33,MANUFACTURINGÊ,Bard Peripheral Vascular,,500 to 999,262,"AL, AR, AZ, CA, CO, CT, DE, FL, GA, HI, IA, IL, IN, KS, KY, LA, MA, MD, MI, MN, MO, MS, NC, NE, NH, NJ, NM, NV, NY, OH, OK, OR, PA, SC, TN, TX, UT, VA, WA, WI, WV"
31-33,MANUFACTURINGÊ,Bard Perpiheral Vascular,,500 to 999,262,"AL, AR, AZ, CA, CO, CT, DE, FL, GA, HI, IA, IL, IN, KS, KY, LA, MA, MD, MI, MN, MO, MS, NC, NE, NH, NJ, NM, NV, NY, OH, OK, OR, PA, SC, TN, TX, UT, VA, WA, WI, WV"
31-33,MANUFACTURINGÊ,"Barrier Wear, Inc.",,100 to 499,3,"AZ, CO, UT"
31-33,MANUFACTURINGÊ,Barry Wehmiller Group,,"10,000 and over",79,"AZ, CA, CO, CT, FL, GA, IA, ID, IL, IN, KS, MA, MD, MI, MN, MO, NC, NH, NJ, NY, OH, OR, PA, PR, SC, TN, TX, VA, WA, WI"
31-33,MANUFACTURINGÊ,Barton Supply,Barton Supply,100 to 499,1,CO
31-33,MANUFACTURINGÊ,"Barvista Homes, Inc.",,20 to 99,1,CO
31-33,MANUFACTURINGÊ,"Basalite Concreate Products, LLC",,500 to 999,11,"CA, CO, ID, NV, OR, WA"
31-33,MANUFACTURINGÊ,"Basalite Concrete Products, LLC",,500 to 999,18,"AZ, CA, CO, ID, NV, UT, WA, WY"
31-33,MANUFACTURINGÊ,BASF Corporation,,"10,000 and over",146,"AL, AR, AZ, CA, CO, CT, DC, DE, FL, GA, HI, IA, IL, KY, LA, MA, MI, MN, MO, MS, NC, NE, NJ, NY, OH, OR, PA, PR, SC, TN, TX, VA, WA, WI, WV"
31-33,MANUFACTURINGÊ,"Bass Cabinet Manufacturing, Inc.",,100 to 499,5,"AZ, CA, CO, NM, NV"
31-33,MANUFACTURINGÊ,BAXA,,500 to 999,1,CO
31-33,MANUFACTURINGÊ,Baxter Healthcare Corporation,,"10,000 and over",110,"AL, AR, AZ, CA, CO, DC, FL, IA, ID, IL, IN, MA, MD, MI, MN, MO, MS, MT, NC, ND, NE, NJ, NY, OH, OK, PA, PR, TN, TX, UT, VA, WA, WI, WV, WY"
31-33,MANUFACTURINGÊ,Baxter Healthcare Corporation,,"10,000 and over",145,"AL, AR, AZ, CA, CO, DC, FL, GA, IA, ID, IL, IN, KS, LA, MA, MD, MI, MN, MO, MS, MT, NC, ND, NE, NJ, NV, NY, OH, OK, OR, PA, PR, SC, TN, TX, UT, VA, WA, WI, WY"
31-33,MANUFACTURINGÊ,Bay Industries Inc,,500 to 999,55,"AZ, CA, CO, FL, GA, IL, IN, KY, LA, MI, MN, MO, NC, NV, OH, OR, PA, TX, VA, WA, WI"
31-33,MANUFACTURINGÊ,Bayshore Truck Equipment Company,National Truck Parts,100 to 499,7,"CA, CO, NV, WY"
31-33,MANUFACTURINGÊ,"BE Aerospace, Inc.",,"5,000 to 9,999",33,"AZ, CA, CO, CT, FL, IL, KS, MA, MT, NC, NH, NJ, NY, PA, SC, TX, WA, WV"
31-33,MANUFACTURINGÊ,Bear Metal Corp,Bear Metal Corp,10 to 19,1,CO
31-33,MANUFACTURINGÊ,Beaudrey American Services,,5 to 9,1,CO
31-33,MANUFACTURINGÊ,"Beckman Coulter, Inc.",,20 to 99,1,CO
31-33,MANUFACTURINGÊ,Benchmark Learning,"Relevant Play, LLC",20 to 99,1,CO
31-33,MANUFACTURINGÊ,Benjamin Moore & Co.,,"1,000 to 2,499",16,"AL, CA, CO, FL, IL, MA, MD, NJ, NY, OH, TX, WA"
31-33,MANUFACTURINGÊ,Benjamin Moore & Co.,,"1,000 to 2,499",17,"AL, CA, CO, FL, GA, IL, MA, MD, NJ, NY, TX, WA"
31-33,MANUFACTURINGÊ,Bentley Welding Inc,,10 to 19,1,CO
31-33,MANUFACTURINGÊ,"Benu Networks, Inc.",,20 to 99,9,"CO, CT, FL, GA, IL, KS, MA, PA, TX"
31-33,MANUFACTURINGÊ,Bergelectric Corp,Bergelectric,"1,000 to 2,499",13,"CA, CO, FL, NC, NE, NV, OR, TX"
31-33,MANUFACTURINGÊ,Berridge Manufacturing Company,Berridge Manufacturing Company,100 to 499,10,"AZ, CO, GA, IL, KS, OK, TX"
31-33,MANUFACTURINGÊ,"Best Logistics, Inc",,100 to 499,27,"AL, AR, AZ, CO, IN, LA, MN, MO, ND, OH, TN, TX, VA, WI"
31-33,MANUFACTURINGÊ,"Best Sign Systems, Inc.",,20 to 99,2,"CO, TX"
31-33,MANUFACTURINGÊ,Bestop Tuffy LLC,Tuffy Security Products,20 to 99,1,CO
31-33,MANUFACTURINGÊ,BESTWAY CONCRETE COMPANY,,100 to 499,1,CO
31-33,MANUFACTURINGÊ,Better Water Company (dba Rocky Mountain Bottled Water Co.),,20 to 99,1,CO
31-33,MANUFACTURINGÊ,BHS Marketing LLC,,20 to 99,4,"CO, ID, UT, WA"
31-33,MANUFACTURINGÊ,"BIG R MANUFACTURING, LLC",,20 to 99,1,CO
31-33,MANUFACTURINGÊ,"Big R Manufacturing, LLC",Big R Bridge,100 to 499,3,"CO, TX, VA"
31-33,MANUFACTURINGÊ,Bimbo Bakeries USA,,100 to 499,11,CO
31-33,MANUFACTURINGÊ,Bimbo Bakeries USA,,100 to 499,30,"AZ, CO, NM, NV, UT"
31-33,MANUFACTURINGÊ,"Bimbo Bakeries USA, Inc.",,"5,000 to 9,999",29,"AZ, CA, CO, IL, KY, LA, MS, NC, NJ, NV, OK, OR, SC, TN, TX, VA, WA, WV"
