,CASE_NO,DECISION_DATE,VISA_CLASS,CASE_RECEIVED_DATE,CASE_STATUS,REQUESTED_START_DATE_OF_NEED,REQUESTED_END_DATE_OF_NEED,CERTIFICATION_BEGIN_DATE,CERTIFICATION_END_DATE,EMPLOYER_NAME,EMPLOYER_ADDRESS1,EMPLOYER_ADDRESS2,EMPLOYER_CITY,EMPLOYER_STATE,EMPLOYER_POSTAL_CODE,LAWFIRM_NAME,AGENT_ATTORNEY_NAME,AGENT_ATTORNEY_CITY,AGENT_ATTORNEY_STATE,JOB_TITLE,SOC_CODE_ID,SOC_TITLE,NBR_WORKERS_CERTIFIED,BASIC_NUMBER_OF_HOURS,BASIC_RATE_OF_PAY,BASIC_UNIT_OF_PAY,WORKSITE_LOCATION_CITY,WORKSITE_LOCATION_STATE,ORGANIZATION_FLAG
8570,H-300-14171-004378,2014-07-23 14:57:32,H-2A,2014-06-20 00:00:00,DETERMINATION ISSUED - CERTIFICATION,2014-08-24 00:00:00,2014-10-31 00:00:00,2014-08-24 00:00:00,2014-10-31 00:00:00,J & B Orchards,110 Taylor Flats Rd.,,Pasco,WA,99343,,,,,Farm Worker,45-2092,"Farmworkers and Laborers, Crop, Nursery, and",48.0,40.0,11.87,Hour,Mesa,WA,
8571,H-300-14171-004378,2014-07-23 14:57:32,H-2A,2014-06-20 00:00:00,DETERMINATION ISSUED - CERTIFICATION,2014-08-24 00:00:00,2014-10-31 00:00:00,2014-08-24 00:00:00,2014-10-31 00:00:00,Washington Farm Labor Association,8830 Tallon Lane NE,Suite C,Lacey,WA,98516,,,,,Farm Worker,45-2092,"Farmworkers and Laborers, Crop, Nursery, and",48.0,40.0,11.87,Hour,Mesa,WA,Association - Joint Employer (H-2A Only)
8572,H-300-14171-270928,2014-07-14 15:30:38,H-2A,2014-06-20 00:00:00,DETERMINATION ISSUED - CERTIFICATION,2014-08-25 00:00:00,2014-12-12 00:00:00,2014-08-25 00:00:00,2014-12-12 00:00:00,Washington Farm Labor Association,8830 Tallon Lane NE,Suite C,Lacey,WA,98516,,,,,Farm Worker,45-2092,"Farmworkers and Laborers, Crop, Nursery, and",20.0,40.0,11.87,Hour,Quincy,WA,Association - Joint Employer (H-2A Only)
8573,H-300-14171-270928,2014-07-14 15:30:38,H-2A,2014-06-20 00:00:00,DETERMINATION ISSUED - CERTIFICATION,2014-08-25 00:00:00,2014-12-12 00:00:00,2014-08-25 00:00:00,2014-12-12 00:00:00,Double M Orchards LLC,PO Box 950,,Quincy,WA,98848,,,,,Farm Worker,45-2092,"Farmworkers and Laborers, Crop, Nursery, and",10.0,40.0,11.87,Hour,Quincy,WA,
8574,H-300-14171-270928,2014-07-14 15:30:38,H-2A,2014-06-20 00:00:00,DETERMINATION ISSUED - CERTIFICATION,2014-08-25 00:00:00,2014-12-12 00:00:00,2014-08-25 00:00:00,2014-12-12 00:00:00,Flicker Orchards LLC,PO Box 1129,,Quincy,WA,98848,,,,,Farm Worker,45-2092,"Farmworkers and Laborers, Crop, Nursery, and",10.0,40.0,11.87,Hour,Quincy,WA,
8575,H-300-14171-608391,2014-07-09 10:46:46,H-2A,2014-06-20 00:00:00,DETERMINATION ISSUED - CERTIFICATION,2014-08-05 00:00:00,2014-11-01 00:00:00,2014-08-05 00:00:00,2014-11-01 00:00:00,THE LYMAN FARM INC,7 LYMAN RD,,MIDDLEFIELD,CT,06455,New England Apple Council Inc,JOSEPH YOUNG,GOFFSTOWN,NH,"cook, institution and cafeteria",35-2012,"Cooks, Institution and Cafeteria",1.0,48.0,11.22,Hour,MIDDLEFIELD,CT,Association - Filing as Agent (H-2A Only)
8576,H-300-14171-998584,2014-08-12 15:07:41,H-2A,2014-06-23 00:00:00,DETERMINATION ISSUED - CERTIFICATION,2014-09-01 00:00:00,2015-06-30 00:00:00,2014-09-01 00:00:00,2015-06-30 00:00:00,BONNIE PLANTS,1727 HIGHWAY 223,FIXED SITE EMPLOYER,UNION SPRING,AL,36089,,,,,"Farmworkers and Laborers, Crop, Nursery, Greenhous",45-2092,"Farmworkers and Laborers, Crop, Nursery, and",50.0,40.0,10.0,Hour,Union Spring,AL,Individual Employer
8577,H-300-14174-006016,2014-07-17 14:19:57,H-2A,2014-06-27 00:00:00,DETERMINATION ISSUED - CERTIFICATION,2014-08-17 00:00:00,2015-01-15 00:00:00,2014-08-17 00:00:00,2015-01-15 00:00:00,SCOTT RIPPY JR.,990 Harve Brown Road,,Bethpage,TN,37022,Agriculture Workforce Management Association,Donna Carpenter,LEXINGTON,KY,"FARM WORKERS & LABORERS, CROP",45-2092,"Farmworkers and Laborers, Crop, Nursery, and",3.0,40.0,10.1,Hour,Bethpage,TN,Association - Filing as Agent (H-2A Only)
8578,H-300-14174-017216,2014-08-01 16:37:02,H-2A,2014-06-23 00:00:00,DETERMINATION ISSUED - CERTIFICATION,2014-07-30 00:00:00,2015-01-30 00:00:00,2014-07-30 00:00:00,2015-01-30 00:00:00,Benny Joe Cox,1930 Caney Fork Rd,,Liberty,KY,42539,,Rebecca Short,Yosemite,KY,Farmworker/Laborer;Crops,45-2092,"Farmworkers and Laborers, Crop, Nursery, and",4.0,40.0,10.1,Select Pay Range,Liberty,KY,Individual Employer
8579,H-300-14174-059799,2014-07-21 13:11:25,H-2A,2014-06-23 00:00:00,DETERMINATION ISSUED - CERTIFICATION,2014-08-27 00:00:00,2015-06-27 00:00:00,2014-08-27 00:00:00,2015-06-27 00:00:00,Scott Holmes Cattle Co.,116 CR 811,,Donie,TX,75838,ACTION VISA ASSISTANCE,DANIELLE CLARK,WYLIE,TX,Farm Worker,45-2093,"Farmworkers, Farm, Ranch, and Aquacultural Animals",1.0,40.0,10.86,Hour,Donie,TX,Individual Employer
8580,H-300-14174-088997,2014-07-15 12:42:14,H-2A,2014-06-27 00:00:00,DETERMINATION ISSUED - CERTIFICATION,2014-08-16 00:00:00,2015-02-07 00:00:00,2014-08-16 00:00:00,2015-02-07 00:00:00,M & C Farming LLC,201 McNamara Lane,,Brooksville,KY,41004,Agriculture Workforce Management Association,Donna Carpenter,LEXINGTON,KY,"FARM WORKERS & LABORERS, CROP",45-2092,"Farmworkers and Laborers, Crop, Nursery, and",5.0,40.0,10.1,Hour,Brooksville,KY,Association - Filing as Agent (H-2A Only)
8581,H-300-14174-166052,2014-09-09 13:57:49,H-2A,2014-08-08 00:00:00,DETERMINATION ISSUED - CERTIFICATION,2014-09-22 00:00:00,2014-12-15 00:00:00,2014-09-22 00:00:00,2014-12-15 00:00:00,Tehandon Contractors,61 Ivy Drive,,Spruce Pine,NC,28777,CHAPMAN LAW FIRM,Gerard Chapman,GREENSBORO,NC,Christmas Tree Farm Worker,45-2092,"Farmworkers and Laborers, Crop, Nursery, and",30.0,35.0,9.87,Hour,Spruce Pine,NC,H-2A Labor Contractor or Job Contractor
8582,H-300-14174-218763,2014-07-03 09:50:19,H-2A,2014-06-24 00:00:00,DETERMINATION ISSUED - CERTIFICATION,2014-08-11 00:00:00,2015-01-15 00:00:00,2014-08-11 00:00:00,2015-01-15 00:00:00,G & L Farm Partnership,8182 Morganza Hwy,P.O. Box 403,Morganza,LA,70759,"AGWORKS H2, LLC",PATRICIA HALL,LAKE PARK,GA,Farm Workers,45-2092,"Farmworkers and Laborers, Crop, Nursery, and",10.0,50.0,9.87,Hour,Batchelor,LA,Individual Employer
8583,H-300-14174-239470,2014-08-15 13:13:58,H-2A,2014-06-23 00:00:00,DETERMINATION ISSUED - CERTIFICATION,2014-07-12 00:00:00,2015-01-31 00:00:00,2014-07-12 00:00:00,2015-01-31 00:00:00,Terry T. Simpson,11798 E. Ky Hwy 90,,Monticello,KY,42633,Rebecca Short - H2A Agent,Rebecca Short,Yosemite,KY,"Farmworker/ Laborer, Crops",45-2092,"Farmworkers and Laborers, Crop, Nursery, and",5.0,40.0,10.1,Hour,MONTICELLO,KY,Individual Employer
8584,H-300-14174-363919,2014-08-19 15:05:17,H-2A,2014-06-23 00:00:00,DETERMINATION ISSUED - WITHDRAWN,2014-07-13 00:00:00,2015-02-01 00:00:00,2014-07-13 00:00:00,2015-02-01 00:00:00,Steve L Elliott,120 S Braxton Dr.,,Perryville,KY,40468,,Vicki Black,Yosemite,KY,Farmworker/Laborer; Crops,45-2092,"Farmworkers and Laborers, Crop, Nursery, and",0.0,40.0,10.1,Hour,Harrodsburg,KY,Individual Employer
8585,H-300-14174-462977,2014-07-25 16:09:56,H-2A,2014-06-23 00:00:00,DETERMINATION ISSUED - CERTIFICATION,2014-07-18 00:00:00,2014-12-31 00:00:00,2014-07-18 00:00:00,2015-12-31 00:00:00,KEVIN SCOTT WOLFE,3559 BLUESPRINGS ROAD,,MT. VERNON,KY,40456,,Rebecca Short,Yosemite,KY,Farmworker/Laborer; Crops,45-2092,"Farmworkers and Laborers, Crop, Nursery, and",4.0,40.0,10.1,Hour,Mt. Vernon,KY,Individual Employer
8586,H-300-14174-500064,2014-07-09 15:45:35,H-2A,2014-06-27 00:00:00,DETERMINATION ISSUED - CERTIFICATION,2014-08-16 00:00:00,2014-12-31 00:00:00,2014-08-16 00:00:00,2014-12-31 00:00:00,Williamson Farms LLC,6905 Madisonville Road,,Hopkinsville,KY,42240,Agriculture Workforce Management Association,Donna Carpenter,LEXINGTON,KY,"FARM WORKERS & LABORERS, CROP",45-2092,"Farmworkers and Laborers, Crop, Nursery, and",3.0,40.0,10.1,Hour,Hopkinsville,KY,Association - Filing as Agent (H-2A Only)
8587,H-300-14174-521464,2014-07-18 12:54:59,H-2A,2014-06-27 00:00:00,DETERMINATION ISSUED - CERTIFICATION,2014-08-17 00:00:00,2015-01-15 00:00:00,2014-08-17 00:00:00,2015-01-15 00:00:00,Adkins Farm,1721 Lock B Rd North,,Clarksville,TN,37043,Agriculture Workforce Management Association,Donna Carpenter,LEXINGTON,KY,"FARM WORKERS & LABORERS, CROP",45-2092,"Farmworkers and Laborers, Crop, Nursery, and",9.0,40.0,10.1,Hour,Clarksville,TN,Association - Filing as Agent (H-2A Only)
8588,H-300-14174-541756,2014-07-28 15:27:27,H-2A,2014-06-23 00:00:00,DETERMINATION ISSUED - CERTIFICATION,2014-09-01 00:00:00,2014-11-05 00:00:00,2014-09-01 00:00:00,2014-11-05 00:00:00,SALINGER ORCHARD,230 GUINEA ROAD,,BREWSTER,NY,10509,VALLEY GROWERS CO-OP,JOSEPH RUSSO,MILTON,NY,AGRICULTURAL EQUIPMENT OPERATOR,45-2091,Agricultural Equipment Operators,2.0,40.0,11.22,Hour,BREWSTER,NY,Individual Employer
8589,H-300-14174-561231,2014-07-14 13:11:06,H-2A,2014-06-27 00:00:00,DETERMINATION ISSUED - CERTIFICATION,2014-08-17 00:00:00,2015-02-01 00:00:00,2014-08-17 00:00:00,2015-02-01 00:00:00,Tony Greene,1133 Hayes Station Rd,,Falmouth,KY,41040,Agriculture Workforce Management Association,Donna Carpenter,LEXINGTON,KY,"FARM WORKERS & LABORERS, CROP",45-2092,"Farmworkers and Laborers, Crop, Nursery, and",6.0,40.0,10.1,Hour,Falmouth,KY,Association - Filing as Agent (H-2A Only)
8590,H-300-14174-587515,2014-08-18 13:52:58,H-2A,2014-06-23 00:00:00,DETERMINATION ISSUED - CERTIFICATION,2014-07-13 00:00:00,2015-02-01 00:00:00,2014-07-13 00:00:00,2015-02-01 00:00:00,Greg Wilson,7655 W Hwy 328,,Eubank,KY,42567,Rebecca Short - H2A Agent,Rebecca Short,Yosemite,KY,Farmworker/Laborer; Crops,45-2092,"Farmworkers and Laborers, Crop, Nursery, and",7.0,40.0,10.1,Hour,Eubank,KY,Individual Employer
8591,H-300-14174-619463,2014-08-12 12:04:28,H-2A,2014-06-23 00:00:00,DETERMINATION ISSUED - CERTIFICATION,2014-08-15 00:00:00,2014-12-20 00:00:00,2014-08-15 00:00:00,2014-12-20 00:00:00,LETICIA PEREZ QUINTINO,115 PENDELTON CREEK,,LYONS,GA,30436,MONICA SAAVEDRA,MONICA SAAVEDRA,DOUGLAS,GA,VEGETABLE AND HAND HARVESTER WORKERS,45-2092,"Farmworkers and Laborers, Crop, Nursery, and",74.0,40.0,10.0,Hour,REGISTER,GA,H-2A Labor Contractor or Job Contractor
8592,H-300-14174-622865,2014-07-17 12:57:32,H-2A,2014-06-27 00:00:00,DETERMINATION ISSUED - CERTIFICATION,2014-08-16 00:00:00,2015-01-21 00:00:00,2014-08-16 00:00:00,2015-01-21 00:00:00,Eddie O'Donoghue,658 O'Donoghue Farm Lane,,McDaniels,KY,40152,Agriculture Workforce Management Association,Donna Carpenter,LEXINGTON,KY,"FARM WORKERS & LABORERS, CROP",45-2092,"Farmworkers and Laborers, Crop, Nursery, and",7.0,40.0,10.1,Hour,McDaniels,KY,Association - Filing as Agent (H-2A Only)
8593,H-300-14174-653103,2014-07-21 15:12:41,H-2A,2014-06-23 00:00:00,DETERMINATION ISSUED - CERTIFICATION,2014-07-19 00:00:00,2015-02-01 00:00:00,2014-07-19 00:00:00,2015-02-01 00:00:00,Benny Webb,4140 Combsferry Road,,Winchester,KY,40391,Agriculture Workforce Management Association,Donna Carpenter,Lexington,KY,Farmworker/Laborer; Crops,45-2092,"Farmworkers and Laborers, Crop, Nursery, and",12.0,40.0,10.1,Hour,Wincherster,KY,Association - Filing as Agent (H-2A Only)
8594,H-300-14174-668213,2014-07-11 15:42:50,H-2A,2014-06-24 00:00:00,DETERMINATION ISSUED - CERTIFICATION,2014-08-11 00:00:00,2014-10-31 00:00:00,2014-08-11 00:00:00,2014-10-31 00:00:00,G & L Farm Partnership,8182 Morganza Hwy,P.O. Box 403,Morganza,LA,70759,"AGWORKS H2, LLC",PATRICIA HALL,LAKE PARK,GA,Farm Workers,45-2092,"Farmworkers and Laborers, Crop, Nursery, and",9.0,50.0,9.87,Hour,Batchelor,LA,Individual Employer
8595,H-300-14174-698746,2014-07-14 15:26:00,H-2A,2014-06-25 00:00:00,DETERMINATION ISSUED - CERTIFICATION,2014-08-15 00:00:00,2015-01-10 00:00:00,2014-08-15 00:00:00,2015-01-10 00:00:00,"Clayton Hurdle Farms, LLC",77300 Hurdle Rd,,Rosedale,LA,70772,"AGWORKS H2, LLC",PATRICIA HALL,LAKE PARK,GA,Farm Workers,45-2092,"Farmworkers and Laborers, Crop, Nursery, and",7.0,42.0,9.87,Hour,Rosedale,LA,Individual Employer
8596,H-300-14174-736098,2014-07-23 15:04:08,H-2A,2014-06-24 00:00:00,DETERMINATION ISSUED - CERTIFICATION,2014-09-01 00:00:00,2014-12-13 00:00:00,2014-09-01 00:00:00,2014-12-13 00:00:00,"BLAND FARMS PRODUCTION AND PACKING, LLC",1126 RAYMOND BLAND ROAD,,GLENNVILLE,GA,30427,,,,,"Farmworkers and Laborers, Crop",45-2092,"Farmworkers and Laborers, Crop, Nursery, and",35.0,40.0,10.0,Hour,GLENNVILLE,GA,Individual Employer
8597,H-300-14174-743602,2014-07-30 17:39:32,H-2A,2014-06-23 00:00:00,DETERMINATION ISSUED - CERTIFICATION,2014-09-01 00:00:00,2014-11-15 00:00:00,2014-09-01 00:00:00,2014-11-15 00:00:00,GOOLD ORCHARDS,1297 BROOKVIEW STATION ROAD,,CASTLETON,NY,12033,VALLEYGROWERS CO-OP,JOSEPH RUSSO,MILTON,NY,FARMWORKERS & LABORERS CROP,45-2092,"Farmworkers and Laborers, Crop, Nursery, and",15.0,44.0,11.22,Hour,CASTLETON,NY,Individual Employer
8598,H-300-14174-805363,2014-07-17 14:54:10,H-2A,2014-06-23 00:00:00,DETERMINATION ISSUED - CERTIFICATION,2014-08-11 00:00:00,2014-11-07 00:00:00,2014-08-11 00:00:00,2014-11-07 00:00:00,Marshall Skiff Orchard LLC,3020 Hitchings Road,,Nedrow,NY,13120,,,,,"Farmworkers and Laborers, Crop",45-2092,"Farmworkers and Laborers, Crop, Nursery, and",7.0,42.0,11.22,Hour,Nedrow,NY,Individual Employer
8599,H-300-14174-937948,2014-09-15 12:32:36,H-2A,2014-06-23 00:00:00,DETERMINATION ISSUED - CERTIFICATION,2014-08-11 00:00:00,2015-02-15 00:00:00,2014-08-11 00:00:00,2015-02-15 00:00:00,David Talley,116 Ringo Ave,,Frankfort,KY,40601,Agricultural Workforce Management Association,Donna Carpenter,Lexington,KY,Farmworker/Laborer; Crops,45-2092,"Farmworkers and Laborers, Crop, Nursery, and",14.0,40.0,10.1,Hour,Frankfort,KY,Individual Employer
8600,H-300-14175-048132,2014-07-15 14:34:22,H-2A,2014-06-24 00:00:00,DETERMINATION ISSUED - CERTIFICATION,2014-08-15 00:00:00,2015-06-15 00:00:00,2014-08-15 00:00:00,2015-06-15 00:00:00,Darrel L Armstrong,351 Rd West MS,,Brule,NE,69127,International Labor Management Corporation,Christi Tabaretti,Vass,NC,Farmworker,45-2092,"Farmworkers and Laborers, Crop, Nursery, and",1.0,45.0,13.41,Hour,Brule,NE,Individual Employer
8601,H-300-14175-048294,2014-07-11 17:00:44,H-2A,2014-06-24 00:00:00,DETERMINATION ISSUED - CERTIFICATION,2014-08-11 00:00:00,2015-02-15 00:00:00,2014-08-11 00:00:00,2015-02-15 00:00:00,Greg Hutchison,2424 Indian Mound Road,,Woodlawn,TN,37191,International Labor Management Corp,Christi Tabaretti,Vass,NC,Farmworker,45-2092,"Farmworkers and Laborers, Crop, Nursery, and",5.0,40.0,10.1,Hour,Woodlawn,TN,Individual Employer
8602,H-300-14175-059972,2014-07-10 15:56:33,H-2A,2014-06-24 00:00:00,DETERMINATION ISSUED - CERTIFICATION,2014-08-11 00:00:00,2014-11-15 00:00:00,2014-08-11 00:00:00,2014-11-15 00:00:00,R.M Zingler Jr Farms,1479 Kendall Rd,,Kendall,NY,14476,International Labor Management Corporation,Christi Tabaretti,Vass,NC,Farmworker; Fruit,45-2092,"Farmworkers and Laborers, Crop, Nursery, and",47.0,40.0,11.22,Hour,Kendall,NY,Individual Employer
8603,H-300-14175-060523,2014-07-15 13:54:26,H-2A,2014-06-24 00:00:00,DETERMINATION ISSUED - CERTIFICATION,2014-09-05 00:00:00,2015-06-15 00:00:00,2014-09-05 00:00:00,2015-06-15 00:00:00,Landry Poche Strawberry Farms Inc,29955 Richardson Drive,P O Box 807 Springfield LA 70462 (Mailing),Holden,LA,70744,CAJUN VISA COMPANY INC,CHRISTY CARTAGINESE,LIVINGSTON,LA,Farmworker,45-2092,"Farmworkers and Laborers, Crop, Nursery, and",3.0,35.0,9.87,Hour,Holden,LA,Individual Employer
8604,H-300-14175-180871,2014-07-21 12:15:49,H-2A,2014-06-30 00:00:00,DETERMINATION ISSUED - CERTIFICATION,2014-08-20 00:00:00,2015-01-20 00:00:00,2014-08-20 00:00:00,2015-01-20 00:00:00,MARION ADAMS,795 Rogers Road,,Crittenden,KY,41030,Agriculture Workforce Management Association,Donna Carpenter,LEXINGTON,KY,"FARM WORKERS & LABORERS, CROP",45-2092,"Farmworkers and Laborers, Crop, Nursery, and",4.0,40.0,10.1,Hour,Crittenden,KY,Association - Filing as Agent (H-2A Only)
8605,H-300-14175-242018,2014-07-11 13:56:17,H-2A,2014-06-24 00:00:00,DETERMINATION ISSUED - CERTIFICATION,2014-08-12 00:00:00,2015-01-20 00:00:00,2014-08-12 00:00:00,2015-01-20 00:00:00,ZACHARY C. ISON,"1225 Lexington, Rd",,Harrodsburg,KY,40330,"ALS, INC",RAMON CERVANTES,LEXINGTON,KY,TOBACCO WORKER,45-2092,"Farmworkers and Laborers, Crop, Nursery, and",2.0,40.0,10.1,Hour,HARRODSBURG,KY,Individual Employer
8606,H-300-14175-343954,2014-07-18 13:26:07,H-2A,2014-06-24 00:00:00,DETERMINATION ISSUED - CERTIFICATION,2014-09-01 00:00:00,2015-06-30 00:00:00,2014-09-01 00:00:00,2015-06-30 00:00:00,Aaron Duhon Farms,1006 Leblanc Road,,Maurice,LA,70555,CAJUN VISA COMPANY INC,CHRISTY CARTAGINESE,LIVINGSTON,LA,Farmworker,45-2092,"Farmworkers and Laborers, Crop, Nursery, and",2.0,35.0,9.87,Hour,Maurice,LA,Individual Employer
8607,H-300-14175-385131,2014-07-22 12:38:35,H-2A,2014-06-24 00:00:00,DETERMINATION ISSUED - CERTIFICATION,2014-08-21 00:00:00,2014-11-12 00:00:00,2014-08-21 00:00:00,2014-11-12 00:00:00,"DONALD DEMARREE FRUIT FARM, INC.",7654 Townline Road,6954 Bear Swamp Road,Williamson,NY,14589,,,,,Fruit Farm Workers,45-2092,"Farmworkers and Laborers, Crop, Nursery, and",27.0,40.0,11.22,Hour,Williamson,NY,Individual Employer
8608,H-300-14175-427159,2014-07-07 15:19:21,H-2A,2014-06-24 00:00:00,DETERMINATION ISSUED - CERTIFICATION,2014-09-01 00:00:00,2015-06-30 00:00:00,2014-09-01 00:00:00,2015-06-30 00:00:00,Delta Dairy LLC,6330 Hwy 132,6255 Hwy 132 Baskin LA 71219 (Mailing),Baskin,LA,71219,CAJUN VISA COMPANY INC,CHRISTY CARTAGINESE,LIVINGSTON,LA,"Farmworkers, farm, ranch",45-2093,"Farmworkers, Farm, Ranch, and Aquacultural Animals",1.0,35.0,9.87,Hour,Baskin,LA,Individual Employer
8609,H-300-14175-434013,2014-07-18 15:00:58,H-2A,2014-06-30 00:00:00,DETERMINATION ISSUED - CERTIFICATION,2014-08-19 00:00:00,2015-06-17 00:00:00,2014-08-19 00:00:00,2015-06-17 00:00:00,Carrollton Greenhouse Tobacco Supplies Inc,3356 Hwy 42E,,Carrollton,KY,41008,Agriculture Workforce Management Association,Donna Carpenter,LEXINGTON,KY,"FARM WORKERS & LABORERS, CROP",45-2092,"Farmworkers and Laborers, Crop, Nursery, and",9.0,40.0,10.1,Hour,Worthvhille,KY,Association - Filing as Agent (H-2A Only)
8610,H-300-14175-434049,2014-07-17 11:38:27,H-2A,2014-06-30 00:00:00,DETERMINATION ISSUED - CERTIFICATION,2014-08-19 00:00:00,2014-12-15 00:00:00,2014-08-19 00:00:00,2014-12-15 00:00:00,Thomas B Greathouse,2700 Woodlake Rd,,Midway,KY,40347,Agriculture Workforce Management Association,DONNA CARPENTER,LEXINGTON,KY,"FARM WORKERS & LABORERS, CROP",45-2092,"Farmworkers and Laborers, Crop, Nursery, and",10.0,40.0,10.1,Hour,MIDWAY,KY,Association - Filing as Agent (H-2A Only)
8611,H-300-14175-455012,2014-07-17 14:50:01,H-2A,2014-06-30 00:00:00,DETERMINATION ISSUED - CERTIFICATION,2014-08-20 00:00:00,2015-01-13 00:00:00,2014-08-20 00:00:00,2015-01-13 00:00:00,Joe A. Chapman,3487 Woodburn Allen Springs Road,,Woodburn,KY,42170,Agriculture Workforce Management Association,DONNA CARPENTER,LEXINGTON,KY,"FARM WORKERS & LABORERS, CROP",45-2092,"Farmworkers and Laborers, Crop, Nursery, and",6.0,40.0,10.1,Hour,WOODBURN,KY,Association - Filing as Agent (H-2A Only)
8612,H-300-14175-488341,2014-07-15 15:42:23,H-2A,2014-06-24 00:00:00,DETERMINATION ISSUED - CERTIFICATION,2014-09-01 00:00:00,2015-06-30 00:00:00,2014-09-01 00:00:00,2015-06-30 00:00:00,Delta Dairy LLC,6330 Hwy 132,6255 Hwy 132 Baskin LA 71219 (Mailing),Baskin,LA,71219,CAJUN VISA COMPANY INC,CHRISTY CARTAGINESE,LIVINGSTON,LA,Farmworker,45-2092,"Farmworkers and Laborers, Crop, Nursery, and",4.0,35.0,9.87,Hour,Baskin,LA,Individual Employer
8613,H-300-14175-498129,2014-07-14 16:09:03,H-2A,2014-06-30 00:00:00,DETERMINATION ISSUED - WITHDRAWN,2014-08-20 00:00:00,2015-02-01 00:00:00,2014-08-20 00:00:00,2015-02-01 00:00:00,Mark Eller,139 Froedge Drive,,Lafayette,TN,37083,Agriculture Workforce Management Association,Donna Carpenter,LEXINGTON,KY,"FARM WORKERS & LABORERS, CROP",45-2092,"Farmworkers and Laborers, Crop, Nursery, and",0.0,40.0,10.1,Hour,Scottsville,KY,Association - Filing as Agent (H-2A Only)
8614,H-300-14175-512309,2014-07-14 12:48:53,H-2A,2014-06-24 00:00:00,DETERMINATION ISSUED - CERTIFICATION,2014-08-09 00:00:00,2014-12-31 00:00:00,2014-08-09 00:00:00,2014-12-31 00:00:00,"Mizell Farms, Inc.",511 North Peabody,,Nickerson,KS,67561,USA FARM LABOR,MANUEL FICK,WAYNESVILLE,NC,Ag. Equipment Operator,45-2091,Agricultural Equipment Operators,3.0,48.0,13.41,Hour,Sterling,KS,Individual Employer
8615,H-300-14175-526337,2014-07-11 15:43:32,H-2A,2014-06-25 00:00:00,DETERMINATION ISSUED - CERTIFICATION,2014-08-11 00:00:00,2015-01-05 00:00:00,2014-08-11 00:00:00,2015-01-05 00:00:00,Janice N. Corley,100 Munson Road,,Cheneyville,LA,71325,"AGWORKS H2, LLC",PATRICIA HALL,LAKE PARK,GA,Farm Worker,45-2092,"Farmworkers and Laborers, Crop, Nursery, and",5.0,39.0,9.87,Hour,Cheneyville,LA,Individual Employer
8616,H-300-14175-552955,2014-07-21 12:26:43,H-2A,2014-06-30 00:00:00,DETERMINATION ISSUED - CERTIFICATION,2014-08-20 00:00:00,2014-12-31 00:00:00,2014-08-20 00:00:00,2014-12-31 00:00:00,Brian Green,11968 Hwy 250,,Vevay,IN,47043,Agriculture Workforce Management Association,Donna Carpenter,LEXINGTON,KY,"FARM WORKERS & LABORERS, CROP",45-2092,"Farmworkers and Laborers, Crop, Nursery, and",4.0,40.0,11.63,Hour,Vevay,IN,Association - Filing as Agent (H-2A Only)
8617,H-300-14175-588830,2014-07-18 15:12:05,H-2A,2014-06-24 00:00:00,DETERMINATION ISSUED - CERTIFICATION EXPIRED,2014-07-25 00:00:00,2014-09-02 00:00:00,2014-07-25 00:00:00,2014-09-02 00:00:00,Hennessey Brothers,P.O. Box 313,115 Indian Hill Road,Marshfield,ME,04654,,,,,Mechanical Harvester Operator,45-2091,Agricultural Equipment Operators,2.0,50.0,11.22,Hour,Marshfield,ME,Individual Employer
8618,H-300-14175-684717,2014-07-14 16:08:15,H-2A,2014-06-30 00:00:00,DETERMINATION ISSUED - CERTIFICATION,2014-08-19 00:00:00,2014-12-31 00:00:00,2014-08-19 00:00:00,2014-12-31 00:00:00,Ben Clifford,3459 KY Hwy 1284 E,,Cynthiana,KY,41031,Agriculture Workforce Management Association,Donna Carpenter,LEXINGTON,KY,"FARM WORKERS & LABORERS, CROP",45-2092,"Farmworkers and Laborers, Crop, Nursery, and",5.0,40.0,10.1,Hour,Cynthiana,KY,Association - Filing as Agent (H-2A Only)
8619,H-300-14175-699155,2014-07-28 15:32:41,H-2A,2014-06-24 00:00:00,DETERMINATION ISSUED - CERTIFICATION,2014-09-01 00:00:00,2015-03-01 00:00:00,2014-09-01 00:00:00,2015-03-01 00:00:00,"RTC, INC.",2160 SCHOCHOH RD,,ADAIRVILLE,KY,42202,"KY. FARMERS AID, INC",MELISSA GREEN,MURRAY,KY,FARM WORKER/ LABORER,45-2092,"Farmworkers and Laborers, Crop, Nursery, and",20.0,40.0,10.1,Hour,ADAIRVILLE,KY,Individual Employer
8620,H-300-14175-703365,2014-07-18 14:27:05,H-2A,2014-06-24 00:00:00,DETERMINATION ISSUED - CERTIFICATION,2014-08-18 00:00:00,2015-02-25 00:00:00,2014-08-18 00:00:00,2015-02-25 00:00:00,ELLIS FARMS,2115 DAYS RD,,LAFAYETTE,TN,37083,"ALS, INC",RAMON CERVANTES,LEXINGTON,KY,FARM WORKER,45-2092,"Farmworkers and Laborers, Crop, Nursery, and",4.0,40.0,10.1,Hour,LAFAYETTE,TN,Individual Employer
